iteration,budget_used,pool_type,retriever,cf_strategy,k_max,labeled_pool_size,total_factuals,total_cfs,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro
3,30,factuals_only,bge_large,-,20,50,50,0,0.595,0.5740535694966076,0.5740535694966075,0.5709187349645015,0.595
4,40,factuals_only,bge_large,-,20,60,60,0,0.575,0.5559156840126463,0.5559156840126463,0.5576312148368061,0.575
4,40,factuals_only,bge_large,-,20,60,60,0,0.57,0.5496932789994723,0.5496932789994723,0.5519609691383885,0.5700000000000001
5,50,factuals_only,bge_large,-,20,70,70,0,0.58,0.5613811488586432,0.5613811488586432,0.5727244494635799,0.58
5,50,factuals_only,bge_large,-,20,70,70,0,0.585,0.5675036299280557,0.5675036299280557,0.5801496730220134,0.585
6,60,factuals_only,bge_large,-,20,80,80,0,0.585,0.5648745694006012,0.5648745694006011,0.5748332491286087,0.585
6,60,factuals_only,bge_large,-,20,80,80,0,0.59,0.5699247656180094,0.5699247656180094,0.5802488479262673,0.5900000000000001
7,70,factuals_only,bge_large,-,20,90,90,0,0.54,0.5235828045317698,0.5235828045317699,0.5305725144180293,0.54
7,70,factuals_only,bge_large,-,20,90,90,0,0.545,0.5285477267950442,0.5285477267950442,0.5357900432900433,0.545
8,80,factuals_only,bge_large,-,20,100,100,0,0.605,0.5909313668473415,0.5909313668473415,0.600289384528515,0.6050000000000001
8,80,factuals_only,bge_large,-,20,100,100,0,0.595,0.5822304574497894,0.5822304574497895,0.5910606930519243,0.5950000000000001
9,90,factuals_only,bge_large,-,20,110,110,0,0.585,0.5686942956416356,0.5686942956416355,0.5790460182602317,0.585
9,90,factuals_only,bge_large,-,20,110,110,0,0.58,0.5658261333663358,0.5658261333663358,0.5731123948515252,0.58
10,100,factuals_only,bge_large,-,20,120,120,0,0.565,0.5500723474538814,0.5500723474538813,0.5623262451833881,0.5650000000000001
10,100,factuals_only,bge_large,-,20,120,120,0,0.565,0.5495895520495717,0.5495895520495717,0.5570494864612512,0.5650000000000001
11,110,factuals_only,bge_large,-,20,120,120,0,0.58,0.5667483471205748,0.5667483471205746,0.5785504201680672,0.5800000000000001
11,110,factuals_only,bge_large,-,20,120,120,0,0.58,0.5664718628445644,0.5664718628445645,0.5750400121363826,0.5800000000000001
1,10,full,bge_large,mixed,20,34,30,4,0.58,0.5604752562743018,0.560475256274302,0.5576167095316031,0.5800000000000001
2,20,full,bge_large,mixed,20,51,40,11,0.615,0.6049402886373361,0.6049402886373361,0.6075396825396825,0.615
3,30,full,bge_large,mixed,20,67,50,17,0.61,0.5937152064193263,0.5937152064193263,0.5938058735689398,0.61
4,40,full,bge_large,mixed,20,86,60,26,0.585,0.5660842479825511,0.5660842479825512,0.5697302737520128,0.585
5,50,full,bge_large,mixed,20,101,70,31,0.565,0.5501232101232101,0.5501232101232101,0.5605636652695477,0.5650000000000001
6,60,full,bge_large,mixed,20,119,80,39,0.575,0.5572846624815935,0.5572846624815935,0.567032967032967,0.575
7,70,full,bge_large,mixed,20,136,90,46,0.58,0.5635943664390968,0.5635943664390967,0.5696772247360483,0.58
8,80,full,bge_large,mixed,20,152,100,52,0.58,0.5610249352592482,0.5610249352592481,0.5684717068645639,0.58
9,90,full,bge_large,mixed,20,166,110,56,0.575,0.5589829830021393,0.5589829830021393,0.5632719918434204,0.575
10,100,full,bge_large,mixed,20,183,120,63,0.58,0.5655210148410743,0.5655210148410744,0.5654522890237176,0.58
11,110,full,bge_large,mixed,20,183,120,63,0.575,0.5614696875895593,0.5614696875895593,0.5659104765459749,0.575
1,10,full,bge_large,factual_anchored,20,34,30,4,0.58,0.5605786829730207,0.5605786829730207,0.5593771445945359,0.5800000000000001
2,20,full,bge_large,factual_anchored,20,51,40,11,0.615,0.6049402886373361,0.6049402886373361,0.6075396825396825,0.615
3,30,full,bge_large,factual_anchored,20,67,50,17,0.605,0.5885670220039954,0.5885670220039954,0.5871136733174621,0.605
4,40,full,bge_large,factual_anchored,20,86,60,26,0.585,0.5660842479825511,0.5660842479825512,0.5697302737520128,0.585
5,50,full,bge_large,factual_anchored,20,101,70,31,0.565,0.5507081853663687,0.5507081853663687,0.5618228158642464,0.5650000000000001
6,60,full,bge_large,factual_anchored,20,119,80,39,0.57,0.5515655969925419,0.5515655969925419,0.56173140954495,0.5700000000000001
7,70,full,bge_large,factual_anchored,20,136,90,46,0.575,0.5596214838575185,0.5596214838575185,0.5654453781512604,0.575
8,80,full,bge_large,factual_anchored,20,152,100,52,0.575,0.5560855212914138,0.5560855212914139,0.5634325396825396,0.575
9,90,full,bge_large,factual_anchored,20,166,110,56,0.57,0.553632108471222,0.553632108471222,0.5612698412698413,0.57
10,100,full,bge_large,factual_anchored,20,183,120,63,0.575,0.5603474105156232,0.5603474105156232,0.5602217224888032,0.575
11,110,full,bge_large,factual_anchored,20,183,120,63,0.575,0.5614696875895593,0.5614696875895593,0.5659104765459749,0.575
