iteration,budget_used,classifier_type,query_strategy,uncertainty_method,embedding_backend,cf_inclusion_strategy,k_max,target_label_strategy,labeled_pool_size,unlabeled_pool_size,total_factuals,total_cfs,num_factuals_added,num_cfs_added,cf_pass_rate,budget_remaining,alpha_cf,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro
0,0,retrieval,uncertainty,entropy,contriever,factual_anchored,20,uniform,20,480,20,0,0,0,,50,1.0,0.7039473684210527,0.5686034395711814,0.6986397303884571,0.575030525030525,0.6245501484263988
1,10,retrieval,uncertainty,entropy,contriever,factual_anchored,20,uniform,33,470,30,3,10,3,,40,1.0,,,,,
2,20,retrieval,uncertainty,entropy,contriever,factual_anchored,20,uniform,50,460,40,10,10,7,,30,1.0,,,,,
3,30,retrieval,uncertainty,entropy,contriever,factual_anchored,20,uniform,61,450,50,11,10,1,,20,1.0,,,,,
4,40,retrieval,uncertainty,entropy,contriever,factual_anchored,20,uniform,73,440,60,13,10,2,,10,1.0,,,,,
5,50,retrieval,uncertainty,entropy,contriever,factual_anchored,20,uniform,87,430,70,17,10,4,,0,1.0,,,,,
6,50,retrieval,uncertainty,entropy,contriever,factual_anchored,20,uniform,87,430,70,17,0,0,,0,1.0,0.7039473684210527,0.6621451328544748,0.7178618615513773,0.6768290923168973,0.7501489891529144
