iteration,classifier_type,labeled_pool_size,unlabeled_pool_size,num_real_examples,num_counterfactuals,budget_remaining,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro
1,static,60,470,10,30,40,0.7105263157894737,0.5735631073543788,0.6983912353334605,0.5846444530655057,0.6247105333502159
2,static,100,460,10,30,30,0.7105263157894737,0.5744898850857016,0.6978623777982148,0.5801204399888611,0.6337314818722829
3,static,140,450,10,30,20,0.7236842105263158,0.583030303030303,0.7101408825093035,0.5895716895716896,0.6396460276593648
4,static,180,440,10,30,10,0.7302631578947368,0.591227011981729,0.7169659825444333,0.5933411142234671,0.6454001885226297
5,static,220,430,10,30,0,0.7302631578947368,0.590625281151597,0.7139090134242488,0.5912548751558039,0.6465425793835029
