iteration,budget_used,pool_type,retriever,cf_strategy,k_max,labeled_pool_size,total_factuals,total_cfs,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro
9,90,factuals_only,static,-,-,110,110,0,0.9444444444444444,0.94442538593482,0.94442538593482,0.945054945054945,0.9444444444444444
10,100,factuals_only,static,-,-,120,120,0,0.9444444444444444,0.94442538593482,0.94442538593482,0.945054945054945,0.9444444444444444
11,110,factuals_only,static,-,-,120,120,0,0.9444444444444444,0.94442538593482,0.94442538593482,0.945054945054945,0.9444444444444444
1,10,factuals_only,bm25,-,20,30,30,0,0.9166666666666666,0.916083916083916,0.916083916083916,0.9285714285714286,0.9166666666666667
1,10,factuals_only,bm25,-,20,30,30,0,0.9074074074074074,0.9066067104808024,0.9066067104808025,0.921875,0.9074074074074074
2,20,factuals_only,bm25,-,20,40,40,0,0.9351851851851852,0.9350459661482946,0.9350459661482945,0.9389484607402283,0.9351851851851851
2,20,factuals_only,bm25,-,20,40,40,0,0.9166666666666666,0.9163151097718467,0.9163151097718467,0.9237879316358563,0.9166666666666667
3,30,factuals_only,bm25,-,20,50,50,0,0.9444444444444444,0.9443681318681318,0.944368131868132,0.9468965517241379,0.9444444444444444
3,30,factuals_only,bm25,-,20,50,50,0,0.9444444444444444,0.9443681318681318,0.944368131868132,0.9468965517241379,0.9444444444444444
4,40,factuals_only,bm25,-,20,60,60,0,0.9259259259259259,0.9258241758241759,0.9258241758241759,0.9282758620689655,0.9259259259259258
4,40,factuals_only,bm25,-,20,60,60,0,0.9259259259259259,0.9258241758241759,0.9258241758241759,0.9282758620689655,0.9259259259259258
5,50,factuals_only,bm25,-,20,70,70,0,0.9166666666666666,0.9163151097718467,0.9163151097718467,0.9237879316358563,0.9166666666666667
5,50,factuals_only,bm25,-,20,70,70,0,0.9351851851851852,0.9349117520447697,0.9349117520447697,0.9426229508196722,0.9351851851851851
6,60,factuals_only,bm25,-,20,80,80,0,0.8981481481481481,0.8977184674989238,0.8977184674989239,0.9049529124520405,0.8981481481481481
6,60,factuals_only,bm25,-,20,80,80,0,0.8981481481481481,0.8977184674989238,0.8977184674989239,0.9049529124520405,0.8981481481481481
7,70,factuals_only,bm25,-,20,90,90,0,0.9074074074074074,0.9071207430340558,0.9071207430340557,0.9125000000000001,0.9074074074074074
7,70,factuals_only,bm25,-,20,90,90,0,0.9259259259259259,0.9258241758241759,0.9258241758241759,0.9282758620689655,0.9259259259259258
8,80,factuals_only,bm25,-,20,100,100,0,0.9351851851851852,0.9350459661482946,0.9350459661482945,0.9389484607402283,0.9351851851851851
8,80,factuals_only,bm25,-,20,100,100,0,0.9351851851851852,0.9350459661482946,0.9350459661482945,0.9389484607402283,0.9351851851851851
9,90,factuals_only,bm25,-,20,110,110,0,0.9259259259259259,0.9258241758241759,0.9258241758241759,0.9282758620689655,0.9259259259259258
9,90,factuals_only,bm25,-,20,110,110,0,0.9259259259259259,0.9258241758241759,0.9258241758241759,0.9282758620689655,0.9259259259259258
10,100,factuals_only,bm25,-,20,120,120,0,0.9166666666666666,0.9163151097718467,0.9163151097718467,0.9237879316358563,0.9166666666666667
10,100,factuals_only,bm25,-,20,120,120,0,0.9166666666666666,0.9163151097718467,0.9163151097718467,0.9237879316358563,0.9166666666666667
11,110,factuals_only,bm25,-,20,120,120,0,0.9166666666666666,0.9163151097718467,0.9163151097718467,0.9237879316358563,0.9166666666666667
11,110,factuals_only,bm25,-,20,120,120,0,0.9166666666666666,0.9163151097718467,0.9163151097718467,0.9237879316358563,0.9166666666666667
1,10,full,bm25,mixed,20,39,30,9,0.9166666666666666,0.9163151097718467,0.9163151097718467,0.9237879316358563,0.9166666666666667
2,20,full,bm25,mixed,20,58,40,18,0.9259259259259259,0.9256965944272446,0.9256965944272445,0.9312499999999999,0.9259259259259259
