strategy,10,20,30
static (full),0.5759104082180168,0.5864945359108102,0.5774369027199217
static (factuals_only),0.5759104082180168,0.5864945359108102,0.5774369027199217
bm25 (factuals_only),0.5714303721704956,0.579236182972363,0.5933044733044733
bm25 mixed (full),0.5714303721704956,0.5774369027199217,0.5933044733044733
bm25 factual_anchored (full),0.5715689541462737,0.5808476017000607,0.5839318838516914
contriever (factuals_only),0.5711913814191979,0.5876903576687945,0.5839318838516914
contriever mixed (full),0.5711913814191979,0.5876903576687945,0.5839318838516914
contriever factual_anchored (full),0.5711913814191979,0.5876903576687945,0.5839318838516914
bge_large (factuals_only),0.5961729357382398,0.5855599128540304,
bge_large mixed (full),0.5898754662484504,0.5855599128540304,
bge_large factual_anchored (full),0.5898754662484504,0.5855599128540304,
