iteration,budget_used,pool_type,retriever,cf_strategy,k_max,labeled_pool_size,total_factuals,total_cfs,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro
6,60,full,bm25,factual_anchored,20,87,70,17,0.7368421052631579,0.5919411148928241,0.7314388783168234,0.5912929623567921,0.6432363989363946
1,10,factuals_only,contriever,-,20,30,30,0,0.7236842105263158,0.5851647289562767,0.7178651473046992,0.5903793825222395,0.6362188550767456
2,20,factuals_only,contriever,-,20,40,40,0,0.7368421052631579,0.5941593664698788,0.7335418410277741,0.5973923919841205,0.646624178730708
3,30,factuals_only,contriever,-,20,50,50,0,0.743421052631579,0.5975077086656034,0.7396433867763508,0.5970518783542038,0.6456027800053461
4,40,factuals_only,contriever,-,20,60,60,0,0.7368421052631579,0.592891753192505,0.7326631114126168,0.5939869865474432,0.6420940080755216
5,50,factuals_only,contriever,-,20,70,70,0,0.7171052631578947,0.5756961872949956,0.7136722369252553,0.5784662146364274,0.620577573310448
6,60,factuals_only,contriever,-,20,70,70,0,0.7171052631578947,0.5756961872949956,0.7136722369252553,0.5784662146364274,0.620577573310448
1,10,full,contriever,mixed,20,35,30,5,0.7105263157894737,0.5720788530465949,0.7048115921524241,0.5764944275582573,0.6292013112170964
2,20,full,contriever,mixed,20,48,40,8,0.7368421052631579,0.5927464954006606,0.7323284131412797,0.5962537524551017,0.6477665695915812
3,30,full,contriever,mixed,20,60,50,10,0.7236842105263158,0.5828188276614427,0.7208440406286717,0.5905191669863046,0.6316886844215591
4,40,full,contriever,mixed,20,73,60,13,0.743421052631579,0.5991339504459383,0.7394457515335182,0.5985480055469451,0.6489905597996596
5,50,full,contriever,mixed,20,87,70,17,0.7368421052631579,0.5940380646640679,0.7316985783077277,0.5903615229897532,0.6443393970089619
6,60,full,contriever,mixed,20,87,70,17,0.7368421052631579,0.5940380646640679,0.7316985783077277,0.5903615229897532,0.6443393970089619
1,10,full,contriever,factual_anchored,20,35,30,5,0.7105263157894737,0.5720788530465949,0.7048115921524241,0.5764944275582573,0.6292013112170964
2,20,full,contriever,factual_anchored,20,48,40,8,0.7368421052631579,0.5927464954006606,0.7323284131412797,0.5962537524551017,0.6477665695915812
3,30,full,contriever,factual_anchored,20,60,50,10,0.7236842105263158,0.5828188276614427,0.7208440406286717,0.5905191669863046,0.6316886844215591
4,40,full,contriever,factual_anchored,20,73,60,13,0.7368421052631579,0.5943892920908942,0.7333434802470492,0.5957525083612041,0.645481787869835
5,50,full,contriever,factual_anchored,20,87,70,17,0.7302631578947368,0.5892156256504809,0.7255502526839636,0.5874445683141335,0.6408306250791374
6,60,full,contriever,factual_anchored,20,87,70,17,0.7368421052631579,0.5940380646640679,0.7316985783077277,0.5903615229897532,0.6443393970089619
1,10,factuals_only,bge_large,-,20,30,30,0,0.7236842105263158,0.5821110468478888,0.7163516711820035,0.5809772829509672,0.6362188550767456
2,20,factuals_only,bge_large,-,20,40,40,0,0.7236842105263158,0.5814744825091523,0.7214336616139484,0.5807792207792207,0.6308619048288994
