strategy,10,20,30,40
static (full),0.7368421052631579,0.7368421052631579,0.7302631578947368,0.743421052631579
static (factuals_only),0.7171052631578947,0.743421052631579,0.7302631578947368,0.7368421052631579
bm25 (factuals_only),0.7171052631578947,0.7368421052631579,0.7631578947368421,
bm25 mixed (full),0.7171052631578947,0.7302631578947368,0.756578947368421,0.7368421052631579
bm25 factual_anchored (full),0.7302631578947368,0.7171052631578947,0.75,
contriever (factuals_only),0.7105263157894737,0.7302631578947368,0.75,
contriever mixed (full),0.7105263157894737,0.7236842105263158,0.75,
contriever factual_anchored (full),0.7105263157894737,0.7368421052631579,0.743421052631579,
bge_large (factuals_only),0.7302631578947368,0.743421052631579,0.7763157894736842,
bge_large mixed (full),0.7302631578947368,0.75,0.743421052631579,
bge_large factual_anchored (full),0.7302631578947368,0.75,0.743421052631579,
