strategy,10,20,30,40,50
static (full),0.5931476050746749,0.5907733574637236,0.7429493687995026,0.7512392005157963,0.7489306197025835
static (factuals_only),0.5745018007202882,0.5938534623927882,0.7231268767530111,0.718207792687009,
bm25 (factuals_only),0.5753016837410723,0.5854819633353046,0.8009484601737707,0.7732090736519753,
bm25 mixed (full),0.5771839080459771,0.5851669079712065,0.7916802212101496,0.718534975651111,
bm25 factual_anchored (full),0.5889718026604507,0.5735271324202416,0.7129974104874672,0.6908483767313817,
contriever (factuals_only),0.5731885382506318,0.5916471369301558,0.7358498733970432,0.7452229960516616,
contriever mixed (full),0.5726523255226319,0.5840467318072798,0.7012660408932833,0.6508067868461127,
contriever factual_anchored (full),0.5726523255226319,0.5927464954006606,0.6874991585870751,0.6508067868461127,
bge_large (factuals_only),0.5860778794276331,0.5922693602693603,0.7890825471418896,0.7405976986570411,
bge_large mixed (full),0.5886464524176389,0.5987436228409859,0.7505678119975907,0.7153494598982536,
bge_large factual_anchored (full),0.5886464524176389,0.5987436228409859,0.7505678119975907,0.7153494598982536,
