iteration,budget_used,pool_type,retriever,cf_strategy,k_max,labeled_pool_size,total_factuals,total_cfs,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro
10,145,full,static,-,-,170,170,0,0.7763157894736842,0.7530216752788446,0.782895847482731,0.7809939327082185,0.7816806651753682
10,145,factuals_only,static,-,-,170,170,0,0.7828947368421053,0.7574619821983924,0.787737059293771,0.7796191027018095,0.7851894371051928
10,145,full,bm25,mixed,20,170,170,0,0.7763157894736842,0.7428517765508997,0.7811149882392433,0.7534517374517374,0.7816806651753682
10,145,factuals_only,bm25,-,20,170,170,0,0.7828947368421053,0.7472262919627022,0.7884990653189349,0.7566960257787325,0.7851894371051928
10,145,full,bm25,factual_anchored,20,170,170,0,0.8026315789473685,0.7845438597003052,0.8061533553781264,0.8390385403173127,0.791224975027786
10,145,factuals_only,bm25,-,20,170,170,0,0.7697368421052632,0.7376821983273596,0.7746494372131044,0.7504444444444445,0.7781718932455437
10,145,full,contriever,mixed,20,170,170,0,0.8026315789473685,0.8120948367809575,0.805840388113503,0.8398601398601399,0.8344917626865881
10,145,factuals_only,contriever,-,20,170,170,0,0.8092105263157895,0.8174715576820839,0.8122994487814433,0.8432692307692309,0.8380005346164128
10,145,full,contriever,factual_anchored,20,170,170,0,0.8026315789473685,0.8120948367809575,0.805840388113503,0.8398601398601399,0.8344917626865881
10,145,factuals_only,contriever,-,20,170,170,0,0.8026315789473685,0.7879393939393939,0.8052492025518342,0.8403664731494921,0.7980005346164127
10,145,full,bge_large,mixed,20,170,170,0,0.8223684210526315,0.8265360760786192,0.8255518544966657,0.8541793467234733,0.8427726895426216
10,145,factuals_only,bge_large,-,20,170,170,0,0.8289473684210527,0.8307328068599171,0.8325925852840831,0.8571546732837054,0.8462814614724461
10,145,full,bge_large,factual_anchored,20,170,170,0,0.8289473684210527,0.8307328068599171,0.8325925852840831,0.8571546732837054,0.8462814614724461
10,145,factuals_only,bge_large,-,20,170,170,0,0.8289473684210527,0.8307328068599171,0.8325925852840831,0.8571546732837054,0.8462814614724461
5,69,full,static,-,-,94,94,0,0.7236842105263158,0.7010190450196363,0.7253955982533552,0.7258126143749605,0.746834930148145
5,69,factuals_only,static,-,-,94,94,0,0.7171052631578947,0.6962973269313121,0.7205078542790819,0.7224163879598662,0.7421837673574473
5,69,full,bm25,mixed,20,94,94,0,0.7236842105263158,0.71192781954449,0.7237077758016642,0.7479775828460039,0.746834930148145
