iteration,budget_used,pool_type,retriever,cf_strategy,k_max,labeled_pool_size,total_factuals,total_cfs,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro
8,80,factuals_only,static,-,-,110,110,0,0.54,0.48364702746950744,0.5422415493367768,0.4963492063492063,0.4833589663307158
9,90,factuals_only,static,-,-,120,120,0,0.545,0.5132388584331189,0.5489422706945529,0.5234223509223509,0.5130253111850548
10,100,factuals_only,static,-,-,130,130,0,0.535,0.4639615119607425,0.5389815567912914,0.4756951154052604,0.47244005603796296
11,110,factuals_only,static,-,-,130,130,0,0.545,0.5097533905005169,0.5505252234993615,0.5209156785243741,0.512283579654306
1,10,factuals_only,bm25,-,20,40,40,0,0.525,0.4902045357333287,0.5320618067640492,0.4952346992583521,0.5167629576123858
1,10,factuals_only,bm25,-,20,40,40,0,0.525,0.4902045357333287,0.5320618067640492,0.4952346992583521,0.5167629576123858
2,20,factuals_only,bm25,-,20,50,50,0,0.51,0.4727709000319474,0.5195145755039244,0.49036209950844095,0.4880934688273666
2,20,factuals_only,bm25,-,20,50,50,0,0.51,0.4708101157182219,0.5198871245235324,0.4888359686344839,0.4880934688273666
3,30,factuals_only,bm25,-,20,60,60,0,0.515,0.47468565078215263,0.5218064280468235,0.4836210245008142,0.4838424625222402
3,30,factuals_only,bm25,-,20,60,60,0,0.53,0.4942540596329619,0.5383526413073828,0.5030649175386018,0.5070656004086348
4,40,factuals_only,bm25,-,20,70,70,0,0.515,0.47853649603760334,0.524940363249573,0.4961172556996356,0.48276892521681886
4,40,factuals_only,bm25,-,20,70,70,0,0.525,0.4886549909034077,0.5332736898831041,0.5020805081443379,0.4913927451151485
5,50,factuals_only,bm25,-,20,80,80,0,0.535,0.4913315876095678,0.542193444071112,0.5035677567199306,0.49821340885735155
5,50,factuals_only,bm25,-,20,80,80,0,0.535,0.4907295035373515,0.5427349650722773,0.5028273859795599,0.49821340885735155
6,60,factuals_only,bm25,-,20,90,90,0,0.53,0.48409317608402275,0.5344655870445344,0.4906515465211118,0.4905932304622665
6,60,factuals_only,bm25,-,20,90,90,0,0.52,0.4753973344202709,0.5251713237306872,0.4817994088823209,0.48824881443498597
7,70,factuals_only,bm25,-,20,100,100,0,0.525,0.46700033366700033,0.5321991991991993,0.4802398290770384,0.4793058458321415
7,70,factuals_only,bm25,-,20,100,100,0,0.52,0.4641810259457319,0.5266547831253713,0.47826247826247825,0.4768548654399846
