iteration,budget_used,classifier_type,query_strategy,uncertainty_method,embedding_backend,cf_inclusion_strategy,k_max,target_label_strategy,labeled_pool_size,unlabeled_pool_size,total_factuals,total_cfs,num_factuals_added,num_cfs_added,cf_pass_rate,budget_remaining,alpha_cf,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro
0,0,retrieval,random,N/A,contriever,factual_anchored,20,uniform,20,480,20,0,0,0,,50,1.0,0.7039473684210527,0.5686034395711814,0.6986397303884571,0.575030525030525,0.6245501484263988
1,10,retrieval,random,N/A,contriever,factual_anchored,20,uniform,40,470,30,10,10,10,,40,1.0,,,,,
2,20,retrieval,random,N/A,contriever,factual_anchored,20,uniform,60,460,40,20,10,10,,30,1.0,,,,,
3,30,retrieval,random,N/A,contriever,factual_anchored,20,uniform,80,450,50,30,10,10,,20,1.0,,,,,
4,40,retrieval,random,N/A,contriever,factual_anchored,20,uniform,100,440,60,40,10,10,,10,1.0,,,,,
5,50,retrieval,random,N/A,contriever,factual_anchored,20,uniform,120,430,70,50,10,10,,0,1.0,,,,,
6,50,retrieval,random,N/A,contriever,factual_anchored,20,uniform,120,430,70,50,0,0,,0,1.0,0.6973684210526315,0.5586271705822268,0.693799795709908,0.5556005877542785,0.6001641366179415
